modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1343,0.0,0.0,0.44516960596979405,청수살롱,"관람,체험",제주 제주시 한경면 낙수로 266,청수리 2228,0.0,24,33.3211319574166,126.240269034819
1344,0.0,0.3134839256419847,0.44516960596979405,사회적협동조합선흘곶,체험여행,제주 제주시 조천읍 동백로 77,선흘리 924,0.0,24,33.5095127332385,126.71528091814
1345,0.0,0.0,0.44516960596979405,해거름체험어장,체험여행,제주 제주시 한경면 판포1길 47,판포리 2946,0.0,24,33.3639140935989,126.19662708627
1346,0.0,0.0,0.44516960596979405,무릉도원올레권역연안생태학습장,체험여행,제주 서귀포시 대정읍 도원로 12-2,신도리 3066,0.0,24,33.2763190596726,126.171731222889
1347,0.0,0.25627077947817933,0.714460429999134,한림읍월령리마을,체험마을,제주 제주시 한림읍 월령1길 11,월령리 424-1,0.0,24,33.3758912837192,126.215636570025
1348,0.0,0.09937205334428101,0.44516960596979405,해거름마을,체험여행,없음,제주 제주시 한경면,0.0,24,33.3501250793777,126.184152847435
1349,0.0,0.1760121283273931,0.44516960596979405,EDDIVE,"관람,체험",제주 서귀포시 칠십리로91번길 24,서귀동 698-1,0.0,24,33.2411767475642,126.563022232756
1350,0.0,0.12539357025679385,0.8143007717075044,제주여가마을 숨쉴틈,체험마을,제주 제주시 남학길 14,오등동 849,0.0,24,33.4630343908724,126.529544906384
1351,0.0,0.3402093553753509,0.44516960596979405,하례리생태관광마을,체험마을,제주 서귀포시 남원읍 하례중앙로 95 하례1리사무소,하례리 677,0.0,24,33.2692439291564,126.625428970379
1352,0.0,0.06269678512839692,0.44516960596979405,하례1리농촌체험휴양마을,체험마을,제주 서귀포시 남원읍 하례중앙로 95,하례리 677,0.0,24,33.2692439291564,126.625428970379
1353,0.0,0.12539357025679385,0.44516960596979405,서귀포알토산마을,체험여행,제주 서귀포시 토산중앙로16번길 1,표선면 토산리 537-3,0.0,24,33.3088392770773,126.779676992622
1354,0.0,0.0,0.44516960596979405,덕천리영농체험장,체험여행,없음,제주 제주시 구좌읍 덕천리 1128-6,0.0,24,33.4805597600845,126.738413804084
1355,0.0,0.12539357025679385,0.44516960596979405,삼사석지,체험여행,없음,제주 제주시 화북일동 1380-1,0.0,24,33.5209736780911,126.573782866815
1356,0.0,0.0,0.44516960596979405,올레체험교육농장,체험여행,제주 제주시 돌송이길 84,삼양일동 440,0.0,24,33.5181847041438,126.607080349133
1357,0.0,0.0,0.44516960596979405,제주문화체험연구모임,"관람,체험",제주 제주시 월산남길 46-8,노형동 3327-3,0.0,24,33.4699214463159,126.465891955358
1358,0.0,0.0,0.44516960596979405,전통초가양반집,"관람,체험",제주 서귀포시 표선면 서성일로 109,성읍리 415-1,0.0,24,33.4001196853507,126.805465788909
